date,infected,death
2020/3/21,558,30
2020/3/22,586,8
2020/3/23,342,13
2020/3/24,526,34
2020/3/25,668,56
2020/3/26,1298,42
2020/3/27,1049,69
2020/3/28,1850,64
2020/3/29,1702,78
2020/3/30,1063,82
2020/3/31,876,192
2020/4/1,1189,123
2020/4/2,1384,183
2020/4/3,1422,132
2020/4/4,1661,140
2020/4/5,1260,164
2020/4/6,1123,185
2020/4/7,1380,403
2020/4/8,1209,205
2020/4/9,1580,283
2020/4/10,1684,496
2020/4/11,1351,327
2020/4/12,1629,254
2020/4/13,942,303
2020/4/14,530,254
2020/4/15,2454,283
2020/4/16,1236,417
2020/4/17,1329,306
2020/4/18,1045,290
2020/4/19,1313,230
