date,infected,death
2020/3/15,1595,257
2020/3/16,1384,206
2020/3/17,1579,225
2020/3/18,1501,326
2020/3/19,2182,213
2020/3/20,2392,389
2020/3/21,3268,557
2020/3/22,1700,368
2020/3/23,1563,327
2020/3/24,1952,410
2020/3/25,1651,302
2020/3/26,2556,395
2020/3/27,2421,552
2020/3/28,2128,553
2020/3/29,1600,424
2020/3/30,1160,467
2020/3/31,1052,389
2020/4/1,1573,402
2020/4/2,1299,375
2020/4/3,1462,358
2020/4/4,1606,352
2020/4/5,1344,254
2020/4/6,1085,303
2020/4/7,795,288
2020/4/8,1095,243
2020/4/9,1395,306
2020/4/10,1252,220
2020/4/11,1552,279
2020/4/12,1467,112
2020/4/13,1268,286
2020/4/14,1017,246
2020/4/15,831,240
2020/4/16,946,236
2020/4/17,1046,248
2020/4/18,1252,203
2020/4/19,859,166
2020/4/20,739,166
2020/4/21,965,207
2020/4/22,1167,164
2020/4/23,1077,204
2020/4/24,1097,169
2020/4/25,717,166
2020/4/26,925,57
2020/4/27,593,127
2020/4/28,873,129
2020/4/29,790,106
2020/4/30,601,95
2020/5/1,741,90
2020/5/2,536,47
